,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth,Unnamed: 0
0,31/12/2010,rishon-lezion,,5.0,110.0,8.0,2035000.0,18500.0,2011.0,2010.0,12.0,0.0
1,31/12/2010,rishon-lezion,,3.0,80.0,7.0,1363000.0,17037.0,2010.0,2010.0,12.0,1.0
2,31/12/2010,rishon-lezion,בורג יוסף,5.0,100.0,5.0,1460000.0,14600.0,2010.0,2010.0,12.0,2.0
3,31/12/2010,rishon-lezion,ראובן 11,5.0,133.0,8.0,1970000.0,14812.0,2010.0,2010.0,12.0,3.0
4,31/12/2010,rishon-lezion,נהריים 16,4.0,100.0,18.0,1223300.0,12233.0,2011.0,2010.0,12.0,4.0
5,31/12/2010,rishon-lezion,הפסנתר 11,4.0,100.0,1.0,1300000.0,13000.0,1998.0,2010.0,12.0,5.0
6,31/12/2010,rishon-lezion,רופין 8,4.5,191.0,7.0,1760000.0,9214.0,1982.0,2010.0,12.0,6.0
7,31/12/2010,rishon-lezion,צבי גנות 6,3.0,80.0,3.0,1320500.0,16506.0,2010.0,2010.0,12.0,7.0
8,31/12/2010,rishon-lezion,תרשיש 6,5.0,125.0,3.0,1670000.0,13360.0,1997.0,2010.0,12.0,8.0
9,31/12/2010,rishon-lezion,קרון אהרון 28,2.5,59.0,,860000.0,14576.0,1971.0,2010.0,12.0,9.0
10,31/12/2010,rishon-lezion,,4.5,191.0,,1760000.0,9214.0,1982.0,2010.0,12.0,10.0
11,31/12/2010,rishon-lezion,,4.0,100.0,,1300000.0,13000.0,1998.0,2010.0,12.0,11.0
12,31/12/2010,rishon-lezion,קרון אהרן 28,2.5,59.0,,860000.0,14576.0,1971.0,2010.0,12.0,12.0
13,31/12/2010,rishon-lezion,הפסנתר 11,4.0,100.0,1.0,1300000.0,13000.0,1998.0,2010.0,12.0,13.0
14,31/12/2010,rishon-lezion,,5.0,125.0,,1670000.0,13360.0,1997.0,2010.0,12.0,14.0
15,31/12/2010,rishon-lezion,,4.0,100.0,,1223300.0,12233.0,2011.0,2010.0,12.0,15.0
16,31/12/2010,rishon-lezion,שלמה אלרז 70,4.0,100.0,18.0,1223300.0,12233.0,2011.0,2010.0,12.0,16.0
17,31/12/2010,rishon-lezion,מבצע משה 37,5.0,125.0,3.0,1670000.0,13360.0,1997.0,2010.0,12.0,17.0
18,31/12/2010,rishon-lezion,,2.5,59.0,,860000.0,14576.0,1971.0,2010.0,12.0,18.0
19,31/12/2010,rishon-lezion,,5.0,133.0,,1970000.0,14812.0,2010.0,2010.0,12.0,19.0
20,31/12/2010,rishon-lezion,,5.0,133.0,8.0,1970000.0,14812.0,2010.0,2010.0,12.0,20.0
21,31/12/2010,rishon-lezion,רופין 8,4.5,191.0,7.0,1760000.0,9214.0,1982.0,2010.0,12.0,21.0
22,28/12/2010,rishon-lezion,אבן גבירול 20,4.0,97.0,1.0,1660000.0,17113.0,1996.0,2010.0,12.0,22.0
23,28/12/2010,rishon-lezion,אלקלעי 30,2.0,55.0,3.0,750000.0,13636.0,2000.0,2010.0,12.0,23.0
24,28/12/2010,rishon-lezion,שוחט מניה 10,3.0,65.0,1.0,975000.0,15000.0,1977.0,2010.0,12.0,24.0
25,28/12/2010,rishon-lezion,אייזנבנד 7,3.5,79.0,4.0,950000.0,12025.0,1900.0,2010.0,12.0,25.0
26,28/12/2010,rishon-lezion,התאנה 7,5.0,133.0,2.0,1635000.0,12293.0,2000.0,2010.0,12.0,26.0
27,28/12/2010,rishon-lezion,הברון הירש 20,3.0,75.0,4.0,820000.0,10933.0,1980.0,2010.0,12.0,27.0
28,28/12/2010,rishon-lezion,,3.5,79.0,,950000.0,12025.0,1900.0,2010.0,12.0,28.0
29,28/12/2010,rishon-lezion,אברבנאל 33,3.5,79.0,4.0,950000.0,12025.0,1900.0,2010.0,12.0,29.0
30,30/11/2010,rishon-lezion,יהודה רגוניס 1,3.0,66.0,1.0,1150000.0,17424.0,2005.0,2010.0,11.0,30.0
31,30/11/2010,rishon-lezion,התזמורת 2,4.0,108.0,12.0,2365000.0,21898.0,1998.0,2010.0,11.0,31.0
32,30/11/2010,rishon-lezion,שבטי ישראל 31,5.0,182.0,,2330000.0,12802.0,1997.0,2010.0,11.0,32.0
33,30/11/2010,rishon-lezion,ברגמן 8,7.0,178.0,,2800000.0,15730.0,2002.0,2010.0,11.0,33.0
34,30/11/2010,rishon-lezion,ז''בוטינסקי 50,3.0,63.0,1.0,800000.0,12698.0,1900.0,2010.0,11.0,34.0
35,30/11/2010,rishon-lezion,המגילה 73,5.0,130.0,,2050000.0,15769.0,1991.0,2010.0,11.0,35.0
36,30/11/2010,rishon-lezion,כורש 7,3.0,78.0,2.0,1025000.0,13141.0,1980.0,2010.0,11.0,36.0
37,29/11/2010,rishon-lezion,הנחשול 99,5.0,125.0,11.0,1984210.0,15873.0,2010.0,2010.0,11.0,37.0
38,29/11/2010,rishon-lezion,קפלנסקי 14,3.0,60.0,2.0,1070000.0,17833.0,1973.0,2010.0,11.0,38.0
39,29/11/2010,rishon-lezion,אברבנאל 43,4.0,92.0,,1010000.0,10978.0,1982.0,2010.0,11.0,39.0
40,29/11/2010,rishon-lezion,עולי הגרדום 58,4.0,90.0,3.0,1150000.0,12777.0,1985.0,2010.0,11.0,40.0
41,29/11/2010,rishon-lezion,התבור 11,5.0,180.0,,4200000.0,23333.0,1982.0,2010.0,11.0,41.0
42,29/11/2010,rishon-lezion,הרצל 93,3.0,52.0,14.0,1000000.0,19230.0,2001.0,2010.0,11.0,42.0
43,29/11/2010,rishon-lezion,אלקבץ 3,5.0,100.0,9.0,1870000.0,18700.0,1997.0,2010.0,11.0,43.0
44,29/11/2010,rishon-lezion,דוידזון 2,5.0,110.0,5.0,1162000.0,10563.0,1985.0,2010.0,11.0,44.0
45,29/11/2010,rishon-lezion,ברניצקי נתן 34,3.0,59.0,3.0,880000.0,14915.0,2000.0,2010.0,11.0,45.0
46,28/11/2010,rishon-lezion,הנחשול 38,4.0,100.0,12.0,875000.0,8750.0,2009.0,2010.0,11.0,47.0
47,28/11/2010,rishon-lezion,הקישון 12,4.0,87.0,6.0,1210000.0,13908.0,1980.0,2010.0,11.0,48.0
48,28/11/2010,rishon-lezion,היצהר 9,5.0,121.0,,1700000.0,14049.0,1997.0,2010.0,11.0,49.0
49,28/11/2010,rishon-lezion,,5.0,110.0,4.0,2041468.0,18558.0,2010.0,2010.0,11.0,50.0
50,28/11/2010,rishon-lezion,הרב נריה 9,2.5,41.0,3.0,860000.0,20975.0,2000.0,2010.0,11.0,51.0
51,28/11/2010,rishon-lezion,מבצע קדש 16,4.5,93.0,3.0,1025000.0,11021.0,1970.0,2010.0,11.0,52.0
52,28/11/2010,rishon-lezion,כפר מסריק 1,5.0,98.0,8.0,1360000.0,13877.0,1997.0,2010.0,11.0,53.0
53,28/11/2010,rishon-lezion,החייל האלמוני 7,3.5,85.0,2.0,960000.0,11294.0,1962.0,2010.0,11.0,54.0
54,28/11/2010,rishon-lezion,אברבנאל 4,4.0,105.0,6.0,900000.0,8571.0,1900.0,2010.0,11.0,55.0
55,28/11/2010,rishon-lezion,אברבנאל 4,4.0,105.0,6.0,900000.0,8571.0,1900.0,2010.0,11.0,56.0
