,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
0,31/12/2010,ramat-gan,לוי 4,1,23,,"540,000","23,478",1970,2010.0,12.0
1,31/12/2010,ramat-gan,דרך בן גוריון דוד 122,3,70,4,"1,025,000","14,642",2011,2010.0,12.0
2,31/12/2010,ramat-gan,הלפיד 5,4,87,3,"1,600,000","18,390",1991,2010.0,12.0
3,31/12/2010,ramat-gan,הראשונים 15,2,45,3,"750,000","16,666",1965,2010.0,12.0
4,31/12/2010,ramat-gan,,3,70,,"1,025,000","14,642",2011,2010.0,12.0
5,31/12/2010,ramat-gan,,4,87,,"1,600,000","18,390",1991,2010.0,12.0
6,31/12/2010,ramat-gan,,2,45,,"750,000","16,666",1965,2010.0,12.0
7,31/12/2010,ramat-gan,,5,125,,"1,418,000","11,344",2009,2010.0,12.0
8,31/12/2010,ramat-gan,דרך בן גוריון 30,4,87,3,"1,600,000","18,390",1991,2010.0,12.0
9,31/12/2010,ramat-gan,לוי 4,1,23,,"540,000","23,478",1970,2010.0,12.0
10,31/12/2010,ramat-gan,,1,23,,"540,000","23,478",1970,2010.0,12.0
11,31/12/2010,ramat-gan,זבוטינסקי 1,5,125,20,"1,418,000","11,344",2009,2010.0,12.0
12,31/12/2010,ramat-gan,דרך בן גוריון 122,3,70,4,"1,025,000","14,642",2011,2010.0,12.0
13,28/12/2010,ramat-gan,דרך בן גוריון דוד 122,3,70,5,"1,025,000","14,642",2011,2010.0,12.0
14,28/12/2010,ramat-gan,דרך אבא הלל 150,4,120,8,"2,199,450","18,328",2010,2010.0,12.0
15,28/12/2010,ramat-gan,מעלה הבנים 19,5,125,,"3,200,000","25,600",1980,2010.0,12.0
16,28/12/2010,ramat-gan,המעגל 9,2.5,57,,"1,060,000","18,596",1955,2010.0,12.0
17,28/12/2010,ramat-gan,"הרא""ה 85",2.5,52,3,"878,000","16,884",1960,2010.0,12.0
18,28/12/2010,ramat-gan,בגין מנחם 5,2,60,31,"1,500,000","25,000",2003,2010.0,12.0
19,28/12/2010,ramat-gan,דרך אבא הלל 150,4,120,12,"2,384,520","19,871",2010,2010.0,12.0
20,27/12/2010,ramat-gan,הרכסים 7,3,80,,"1,300,000","16,250",2009,2010.0,12.0
21,27/12/2010,ramat-gan,בר כוכבא 12,3.5,65,,"1,150,000","17,692",1968,2010.0,12.0
22,27/12/2010,ramat-gan,ארלוזורוב 15,3.5,68,3,"1,270,000","18,676",1973,2010.0,12.0
23,27/12/2010,ramat-gan,דרך משה דיין 16,5,110,1,"1,800,000","16,363",1976,2010.0,12.0
24,27/12/2010,ramat-gan,מעלה הבנים 3,3,67,2,"1,320,000","19,701",1960,2010.0,12.0
25,26/12/2010,ramat-gan,שקדיה 12,4,73,6,"1,770,000","24,246",1977,2010.0,12.0
26,26/12/2010,ramat-gan,"הרא""ה 76",2,59,1,"437,500","7,415",1970,2010.0,12.0
27,26/12/2010,ramat-gan,ירושלים 13,3,53,1,"1,000,000","18,867",1960,2010.0,12.0
28,26/12/2010,ramat-gan,פרוג שמעון 11,4,92,4,"2,330,000","25,326",2012,2010.0,12.0
29,26/12/2010,ramat-gan,המלאכה 10,3,60,2,"1,280,000","21,333",2002,2010.0,12.0
30,30/11/2010,ramat-gan,הרב לנדרס 6,4.5,92,7,"1,275,000","13,858",1975,2010.0,11.0
31,30/11/2010,ramat-gan,קארו יוסף 7,3.5,73,1,"1,044,000","14,301",2008,2010.0,11.0
32,30/11/2010,ramat-gan,זבוטינסקי 141,4,100,1,"1,440,000","14,400",2010,2010.0,11.0
33,30/11/2010,ramat-gan,השר משה 1,5,140,6,"2,390,000","17,071",2010,2010.0,11.0
34,30/11/2010,ramat-gan,הרצל 59,3,71,,"800,000","11,267",1960,2010.0,11.0
35,30/11/2010,ramat-gan,חרות 13,2,50,1,"699,295","13,985",1954,2010.0,11.0
36,30/11/2010,ramat-gan,הזיתים 14,3,83,2,"1,800,000","21,686",1964,2010.0,11.0
37,30/11/2010,ramat-gan,יהודה הנשיא 16,2,52,,"900,000","17,307",1950,2010.0,11.0
38,30/11/2010,ramat-gan,הגת 19,3.5,58,,"880,000","15,172",2000,2010.0,11.0
39,30/11/2010,ramat-gan,טבנקין 3,4,109,1,"2,480,000","22,752",1971,2010.0,11.0
40,29/11/2010,ramat-gan,מצדה 29,2.5,59,1,"1,692,000","28,677",1960,2010.0,11.0
41,28/11/2010,ramat-gan,ארניה 14,2.5,45,1,"1,002,500","22,277",1960,2010.0,11.0
42,28/11/2010,ramat-gan,רימלט 18,5,120,9,"1,268,750","10,572",2012,2010.0,11.0
43,28/11/2010,ramat-gan,רימלט 18,4.5,120,11,"2,039,974","16,999",2010,2010.0,11.0
44,28/11/2010,ramat-gan,"רש""י 26",5,130,6,"2,360,000","18,153",2010,2010.0,11.0
45,28/11/2010,ramat-gan,גלעד 5,5,124,2,"2,380,000","19,193",1993,2010.0,11.0
46,28/11/2010,ramat-gan,,5,124,,"2,380,000","19,193",1993,2010.0,11.0
47,28/11/2010,ramat-gan,,5,120,,"2,537,500","21,145",2012,2010.0,11.0
48,28/11/2010,ramat-gan,,5,130,,"2,360,000","18,153",2010,2010.0,11.0
49,28/11/2010,ramat-gan,רמת גן 1,5,124,2,"2,380,000","19,193",1993,2010.0,11.0
50,28/11/2010,ramat-gan,,2.5,45,,"1,002,500","22,277",1960,2010.0,11.0
51,28/11/2010,ramat-gan,רשי 26,5,130,6,"2,360,000","18,153",2010,2010.0,11.0
52,28/11/2010,ramat-gan,,4.5,120,,"2,039,974","16,999",2010,2010.0,11.0
53,28/11/2010,ramat-gan,ארניה 14,2.5,45,1,"1,002,500","22,277",1960,2010.0,11.0
54,28/11/2010,ramat-gan,רימלט 18,4.5,120,11,"2,039,974","16,999",2010,2010.0,11.0
55,28/11/2010,ramat-gan,רימלט 18,5,120,9,"2,537,500","21,145",2012,2010.0,11.0
56,25/11/2010,ramat-gan,"מל""ל 13",2,49,,"1,100,000","22,448",1970,2010.0,11.0
57,25/11/2010,ramat-gan,המרגנית 4,2.5,56,,"1,080,000","19,285",1950,2010.0,11.0
58,25/11/2010,ramat-gan,מנדס 65,4,120,4,"1,600,000","13,333",1972,2010.0,11.0
59,25/11/2010,ramat-gan,אריה בן אליעזר 65,4,83,5,"1,550,000","18,674",1972,2010.0,11.0
60,31/10/2010,ramat-gan,"הרא""ה 4",2.5,56,1,"1,150,000","20,535",1959,2010.0,10.0
61,31/10/2010,ramat-gan,דרך אבא הלל 7,5,125,60,"2,715,000","21,720",2001,2010.0,10.0
62,31/10/2010,ramat-gan,ירושלים 33,2.5,42,2,"950,000","22,619",1958,2010.0,10.0
63,31/10/2010,ramat-gan,בית חורון 8,3,54,6,"1,250,000","23,148",1970,2010.0,10.0
64,31/10/2010,ramat-gan,הסנה 18,3,58,3,"1,082,474","18,663",1970,2010.0,10.0
65,31/10/2010,ramat-gan,טבנקין 25,4,78,6,"1,650,000","21,153",1994,2010.0,10.0
66,31/10/2010,ramat-gan,קלאוזנר 9,4,76,3,"1,700,000","22,368",2005,2010.0,10.0
67,31/10/2010,ramat-gan,שרת משה 39,3,71,1,"1,401,245","19,735",1955,2010.0,10.0
68,31/10/2010,ramat-gan,שרת משה 39,3,71,1,"1,411,290","19,877",1955,2010.0,10.0
69,31/10/2010,ramat-gan,עוזיאל 136,3,80,2,"1,415,000","17,687",1959,2010.0,10.0
