,Date,City,Street,Rooms,Surface,Floor,Price,PricePerSq,BuildYear,DealYear,DealMonth
59,29/7/2020,ראשון לציון,שלמה קפלנסקי 6,3,72,,"1,530,000","21,250",1970,2020.0,7.0
60,29/6/2020,ראשון לציון,,4,97,,"2,230,000","22,989",2017,2020.0,6.0
61,29/6/2020,ראשון לציון,גלוסקין 8,5.5,132,6,"2,280,000","17,272",1993,2020.0,6.0
62,29/6/2020,ראשון לציון,,5.5,132,,"2,280,000","17,272",1993,2020.0,6.0
63,29/6/2020,ראשון לציון,רוזנשטיין מרדכי 19,5,150,1,"1,930,000","12,866",2007,2020.0,6.0
64,29/6/2020,ראשון לציון,,4,126,,"2,460,000","19,523",2021,2020.0,6.0
65,29/6/2020,ראשון לציון,"אח""י מזנק 15",4,97,10,"2,230,000","22,989",2017,2020.0,6.0
66,29/6/2020,ראשון לציון,,5,150,,"1,930,000","12,866",2007,2020.0,6.0
67,29/6/2020,ראשון לציון,,2,48,,"1,310,000","27,291",1970,2020.0,6.0
68,29/6/2020,ראשון לציון,משעול פלג 1,4,126,10,"2,460,000","19,523",2021,2020.0,6.0
69,29/6/2020,ראשון לציון,ירושלים 56,2,48,4,"1,310,000","27,291",1970,2020.0,6.0
70,26/5/2020,ראשון לציון,,4,107,,"2,200,000","20,560",1996,2020.0,5.0
71,26/5/2020,ראשון לציון,התזמורת 32,4,107,7,"2,200,000","20,560",1996,2020.0,5.0
72,26/5/2020,ראשון לציון,הזמורה 9,3,85,1,"2,102,102","24,730",2001,2020.0,5.0
73,26/5/2020,ראשון לציון,,3,85,,"2,102,102","24,730",2001,2020.0,5.0
74,26/5/2020,ראשון לציון,,3,70,,"1,270,000","18,142",1990,2020.0,5.0
75,26/5/2020,ראשון לציון,הכובש 25,3,70,4,"1,270,000","18,142",1990,2020.0,5.0
76,26/5/2020,ראשון לציון,אב 9,4,110,,"2,354,599","21,405",2018,2020.0,5.0
77,26/5/2020,ראשון לציון,ברניצקי נתן 5,3,72,1,"1,376,375","19,116",1983,2020.0,5.0
78,26/5/2020,ראשון לציון,ברניצקי נתן 4,3,87,4,"1,430,000","16,436",1970,2020.0,5.0
79,26/5/2020,ראשון לציון,אברבנאל 19,4,88,4,"1,525,000","17,329",1980,2020.0,5.0
80,30/4/2020,ראשון לציון,הכינור 3,3,71,2,"1,730,000","24,366",1998,2020.0,4.0
81,30/4/2020,ראשון לציון,,3,71,,"1,730,000","24,366",1998,2020.0,4.0
82,30/4/2020,ראשון לציון,,7,185,,"4,200,000","22,702",1999,2020.0,4.0
83,30/4/2020,ראשון לציון,פול ברג 59,7,185,,"4,200,000","22,702",1999,2020.0,4.0
84,28/4/2020,ראשון לציון,החלמונית 25,4.5,118,4,"2,040,000","17,288",1995,2020.0,4.0
85,28/4/2020,ראשון לציון,אייזנבנד 7,4,110,4,"1,500,000","13,636",1987,2020.0,4.0
86,28/4/2020,ראשון לציון,אייזנבנד 7,4,110,,"1,500,000","13,636",1987,2020.0,4.0
87,28/4/2020,ראשון לציון,הסחלב 8,4.5,118,,"2,040,000","17,288",1995,2020.0,4.0
88,27/4/2020,ראשון לציון,נורדאו 33,3,55,,"1,210,000","22,000",1984,2020.0,4.0
89,27/4/2020,ראשון לציון,דרך חיים הרצוג,5,125,,"1,539,804","12,318",2021,2020.0,4.0
90,31/3/2020,ראשון לציון,לוין מיכאל 8,4,91,5,"1,700,000","18,681",1970,2020.0,3.0
91,31/3/2020,ראשון לציון,,4,91,,"1,700,000","18,681",1970,2020.0,3.0
92,30/3/2020,ראשון לציון,,6,174,,"3,000,000","17,241",1999,2020.0,3.0
93,30/3/2020,ראשון לציון,פיינמן ריצארד 33,6,174,1,"3,000,000","17,241",1999,2020.0,3.0
94,30/3/2020,ראשון לציון,שלום אש 9,2,50,,"1,100,000","22,000",1970,2020.0,3.0
95,30/3/2020,ראשון לציון,אש שלום 9,2,50,2,"1,100,000","22,000",1970,2020.0,3.0
96,30/3/2020,ראשון לציון,הצופים 16,4,95,7,"2,064,000","21,726",2004,2020.0,3.0
97,30/3/2020,ראשון לציון,בני עקיבא 15,4,95,,"2,064,000","21,726",2004,2020.0,3.0
98,29/3/2020,ראשון לציון,העוגב 8,4,101,,"2,130,000","21,089",1998,2020.0,3.0
99,29/3/2020,ראשון לציון,העוגב 8,4,101,3,"2,130,000","21,089",1998,2020.0,3.0
100,28/2/2020,ראשון לציון,האבות 12,4,109,,"2,050,000","18,807",2003,2020.0,2.0
101,28/2/2020,ראשון לציון,האבות 17,4,109,1,"2,050,000","18,807",2003,2020.0,2.0
102,27/2/2020,ראשון לציון,נחמה 3,3.5,79,5,"1,720,000","21,772",2000,2020.0,2.0
103,27/2/2020,ראשון לציון,,5,123,,"2,440,000","19,837",2019,2020.0,2.0
104,27/2/2020,ראשון לציון,אבנר,5,123,7,"2,440,000","19,837",2019,2020.0,2.0
105,27/2/2020,ראשון לציון,,5,127,,"1,800,000","14,173",1991,2020.0,2.0
106,27/2/2020,ראשון לציון,,3,87,,"1,620,000","18,620",1970,2020.0,2.0
107,27/2/2020,ראשון לציון,,5,135,,"2,504,896","18,554",2019,2020.0,2.0
108,27/2/2020,ראשון לציון,ברזילי 11,3,87,4,"1,620,000","18,620",1970,2020.0,2.0
109,27/2/2020,ראשון לציון,רשי 47,5,127,2,"1,800,000","14,173",1991,2020.0,2.0
110,31/1/2020,ראשון לציון,בית הלוי 3,4,105,,"2,050,000","19,523",1998,2020.0,1.0
111,31/1/2020,ראשון לציון,שפירא צבי הרמן 9,2,51,1,"1,178,000","23,098",1970,2020.0,1.0
112,31/1/2020,ראשון לציון,קאפח 3,4,105,7,"2,050,000","19,523",1998,2020.0,1.0
113,31/1/2020,ראשון לציון,צ''ג בנות 31,3,82,,"1,590,000","19,390",2019,2020.0,1.0
114,31/1/2020,ראשון לציון,"צ""ג בנות 31",3,82,6,"1,590,000","19,390",2019,2020.0,1.0
115,30/1/2020,ראשון לציון,,4,110,,"2,165,000","19,681",2014,2020.0,1.0
116,30/1/2020,ראשון לציון,אלרואי 4,3,56,3,"1,220,000","21,785",1960,2020.0,1.0
117,30/1/2020,ראשון לציון,,3,56,,"1,220,000","21,785",1960,2020.0,1.0
118,30/1/2020,ראשון לציון,,3,48,,"1,224,897","25,518",1970,2020.0,1.0
119,30/1/2020,ראשון לציון,הירמוך 9,4,100,6,"1,865,000","18,650",2019,2020.0,1.0
